Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,105675.0,106807.0,107906.0,108727.0,108735.0,108908.0,109203.0,108587.0,107700.0,107310.0,107359.0
Africa Eastern and Southern,575202699.0,590968990.0,607123269.0,623369401.0,640058741.0,657801085.0,675950189.0,694446100.0,713090928.0,731821393.0,750503764.0
Afghanistan,31622704.0,32792523.0,33831764.0,34700612.0,35688935.0,36743039.0,37856121.0,39068979.0,40000412.0,40578842.0,41454761.0
Africa Western and Central,396030207.0,406992047.0,418127845.0,429454743.0,440882906.0,452195915.0,463365429.0,474569351.0,485920997.0,497387180.0,509398589.0
Angola,26165620.0,27160769.0,28157798.0,29183070.0,30234839.0,31297155.0,32375632.0,33451132.0,34532429.0,35635029.0,36749906.0
Albania,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0
Andorra,75194.0,73737.0,72174.0,72181.0,73763.0,75162.0,76474.0,77380.0,78364.0,79705.0,80856.0
Arab World,390954281.0,400231008.0,410190679.0,419808341.0,428315886.0,435998060.0,444281315.0,453723239.0,460646603.0,471352066.0,481667539.0
United Arab Emirates,7693031.0,8059440.0,8505237.0,8935095.0,9223225.0,9346701.0,9445785.0,9401038.0,9575152.0,10074977.0,10483751.0
Argentina,42582455.0,43024071.0,43477012.0,43900313.0,44288894.0,44654882.0,44973465.0,45191965.0,45312281.0,45407904.0,45538401.0
Armenia,3022000.0,3013800.0,3004600.0,2992300.0,2979400.0,2969000.0,2962500.0,2961500.0,2962300.0,2969200.0,2990900.0
American Samoa,54006.0,53466.0,52878.0,52245.0,51586.0,50908.0,50209.0,49761.0,49225.0,48342.0,47521.0
Antigua and Barbuda,88064.0,88765.0,89409.0,89969.0,90468.0,90926.0,91364.0,91846.0,92349.0,92840.0,93316.0
Australia,23128129.0,23475686.0,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,26658948.0
Austria,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,9131761.0
Azerbaijan,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,10153958.0
Burundi,10439341.0,10799785.0,11047580.0,11239451.0,11506762.0,11859446.0,12255336.0,12617036.0,12965481.0,13321097.0,13689450.0
Belgium,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0,11586195.0,11680210.0,11787423.0
Benin,10708834.0,11030004.0,11360681.0,11697842.0,12039780.0,12383347.0,12726755.0,13070169.0,13413417.0,13759501.0,14111034.0
Burkina Faso,17695409.0,18229461.0,18777487.0,19334856.0,19894407.0,20438288.0,20961952.0,21478690.0,21995243.0,22509038.0,23025776.0
Bangladesh,156532141.0,157964929.0,159383179.0,160811932.0,162186147.0,163523103.0,164913055.0,166298024.0,167658854.0,169384897.0,171466990.0
Bulgaria,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6934015.0,6877743.0,6643324.0,6446596.0
Bahrain,1253191.0,1314562.0,1370322.0,1423726.0,1501116.0,1503091.0,1483756.0,1472204.0,1504365.0,1524693.0,1577059.0
