Country Label,Pollutant,Last Updated,Value,Population
Afghanistan,PM2.5,2021,-863.0,85424178274.0
Antigua and Barbuda,PM2.5,2023,10.0,87129202465.0
Argentina,PM2.5,2017,3.0,81665929253.0
Argentina,PM2.5,2022,3.0,86263961277.0
Argentina,PM2.5,2023,31.070833378,87129202465.0
Argentina,TEMPERATURE,2023,53.862500280000006,87129202465.0
Armenia,PM2.5,2023,10.4,87129202465.0
Australia,CO,2018,-9998.1,82660927479.0
Australia,CO,2019,0.7,83636337784.0
Australia,CO,2020,1.83,84589162779.0
Australia,CO,2021,0.6,85424178274.0
Australia,CO,2022,0.6000000000000001,86263961277.0
Australia,CO,2023,0.2,87129202465.0
Australia,NO2,2018,0.078,82660927479.0
Australia,NO2,2019,-19997.927,83636337784.0
Australia,NO2,2020,0.0,84589162779.0
Australia,NO2,2021,0.022,85424178274.0
Australia,NO2,2022,0.041,86263961277.0
Australia,NO2,2023,0.005,87129202465.0
Australia,O3,2019,0.027,83636337784.0
Australia,O3,2020,0.064,84589162779.0
Australia,O3,2021,-1110.861,85424178274.0
Australia,O3,2022,0.589,86263961277.0
Australia,O3,2023,0.053,87129202465.0
Australia,PM10,2018,20.6,82660927479.0
Australia,PM10,2020,133.1,84589162779.0
Australia,PM10,2021,-811.7,85424178274.0
Australia,PM10,2022,541.26,86263961277.0
Australia,PM10,2023,102.12,87129202465.0
Australia,PM2.5,2018,10.9,82660927479.0
Australia,PM2.5,2020,81.1,84589162779.0
Australia,PM2.5,2021,-1005.93,85424178274.0
Australia,PM2.5,2022,153.55,86263961277.0
Australia,PM2.5,2023,92.369999905,87129202465.0
Australia,SO2,2018,-9998.96,82660927479.0
Australia,SO2,2019,-29993.708,83636337784.0
Australia,SO2,2020,0.0,84589162779.0
Australia,SO2,2021,0.002,85424178274.0
Australia,SO2,2022,0.015,86263961277.0
Australia,SO2,2023,9e-05,87129202465.0
Australia,TEMPERATURE,2023,23.70000076,87129202465.0
Austria,CO,2016,7644.0,80648414947.0
Austria,CO,2017,0.0,81665929253.0
Austria,CO,2021,1044.51549,85424178274.0
Austria,NO,2023,99.44541455,87129202465.0
Austria,NO2,2016,2906.0,80648414947.0
Austria,NO2,2017,68.09278153,81665929253.0
Austria,NO2,2020,43.12214087,84589162779.0
Austria,NO2,2021,22.66400002,85424178274.0
Austria,NO2,2023,125.32725475,87129202465.0
Austria,O3,2016,2386.0,80648414947.0
Austria,O3,2017,308.571,81665929253.0
Austria,O3,2020,41.073,84589162779.0
Austria,O3,2021,69.606,85424178274.0
Austria,O3,2023,112.465,87129202465.0
Austria,PM10,2016,1385.0,80648414947.0
Austria,PM10,2017,71.02318381,81665929253.0
Austria,PM10,2020,54.5,84589162779.0
Austria,PM10,2021,17.168000210000002,85424178274.0
Austria,PM10,2023,80.84071348,87129202465.0
